match_duration,top_kills,top_deaths,top_assists,top_gold,top_vision,top_tower_damage,jg_kills,jg_deaths,jg_assists,jg_gold,jg_vision,jg_tower_damage,mid_kills,mid_deaths,mid_assists,mid_gold,mid_vision,mid_tower_damage,bot_kills,bot_deaths,bot_assists,bot_gold,bot_vision,bot_tower_damage,sup_kills,sup_deaths,sup_assists,sup_gold,sup_vision,sup_tower_damage,team_baron_kills,team_dragon_kills,team_riftHerald_kills,team_kills,team_deaths,team_assists,team_gold,team_vision,team_tower_damage,team_win
1309,7,2,1,9371,22,9699,5,4,6,8319,24,1345,4,0,6,8070,17,5088,9,4,5,10985,5,4835,4,3,14,7899,32,3209,0,3,0,29,13,32,44644,100,24176,1
1045,8,2,2,10491,3,13047,5,1,1,7444,12,3017,0,1,1,5099,0,5734,2,6,5,5240,3,1997,3,5,3,5685,32,1132,0,1,1,18,15,12,33959,50,24927,1
1045,1,4,1,3726,8,0,3,3,2,6019,18,0,2,3,0,5547,7,4308,7,6,0,6160,10,3267,2,2,8,5584,16,695,0,1,0,15,18,11,27036,59,8270,0
2396,15,7,2,21229,51,24894,6,5,6,15453,34,3285,4,2,6,14633,39,7005,5,10,4,13302,33,3872,1,11,10,11798,124,7891,0,4,1,31,35,28,76415,281,46947,0
2396,2,11,5,16734,40,7790,6,5,11,16076,52,2983,9,5,5,15483,32,15990,18,4,7,20397,36,14694,0,6,21,13830,95,2831,1,2,0,35,31,49,82520,255,44288,1
2362,13,8,6,19759,21,18566,17,7,7,18715,22,3246,11,4,11,14999,35,4488,4,9,10,14132,38,9246,1,4,25,12494,88,3160,1,4,0,46,32,59,80099,204,38706,1
2362,6,10,7,13924,31,5538,16,13,9,18886,27,9,4,6,6,11740,18,6111,1,10,12,10643,21,113,5,8,10,13382,65,1079,0,2,1,32,47,44,68575,162,12850,0
2054,4,6,7,9325,15,7330,14,9,8,15057,18,3990,15,4,13,15648,31,4185,12,8,11,16163,29,11151,4,2,23,11462,87,2988,0,4,0,49,29,62,67655,180,29644,1
2054,10,5,6,17186,23,14145,1,15,6,11695,33,3000,10,11,2,13055,20,4616,4,10,1,12599,32,5072,4,8,8,10509,73,1077,1,1,1,29,49,23,65044,181,27910,0
2119,3,8,16,11437,10,11699,7,12,13,14302,11,3317,3,8,7,9205,19,3532,33,10,8,27512,30,10256,1,8,27,11922,38,2209,0,1,1,47,46,71,74378,108,31013,1
2119,8,7,12,14532,24,17049,11,9,8,14080,35,6731,12,9,11,14009,30,7682,8,11,10,12573,6,797,7,11,25,13628,101,2771,1,4,0,46,47,66,68822,196,35030,0
2428,0,12,11,10081,4,7884,28,6,6,26805,37,14253,9,8,11,14203,25,4821,6,6,9,13982,32,4400,13,8,15,18025,77,6820,1,2,1,56,40,52,83096,175,38178,1
2428,19,9,1,20483,26,8291,3,10,12,13851,29,2254,12,14,5,13865,26,9229,5,13,13,15005,17,9846,1,10,14,12467,36,3092,0,4,0,40,56,45,75671,134,32712,0
1508,10,1,2,11308,21,10952,10,1,7,11235,28,3314,7,2,6,9322,8,5706,4,1,9,11321,14,7564,3,1,8,8336,41,6617,1,3,1,34,6,32,51522,112,34153,1
1508,0,7,1,6718,23,6619,3,8,0,8978,29,0,2,7,1,8872,9,3948,1,7,0,7934,15,2390,0,5,2,6505,62,0,0,1,0,6,34,4,39007,138,12957,0
1312,1,8,2,6263,14,0,0,7,3,6509,23,2286,0,5,0,5747,0,961,5,7,2,9986,7,2474,2,3,5,6426,9,3338,0,1,1,8,30,12,34931,53,9059,0
1312,9,1,0,9249,19,10778,5,2,5,8431,23,1656,3,0,2,7528,10,4966,11,3,2,9859,11,888,2,2,9,7547,11,2667,0,2,0,30,8,18,42614,74,20955,1
1782,13,3,12,15341,23,9209,17,3,6,15493,39,10561,4,3,13,11101,23,4884,3,7,4,10063,23,6364,0,5,8,6843,18,1879,0,1,0,37,21,43,58841,126,32897,1
1782,6,9,0,10525,22,2991,6,8,3,12638,8,6561,2,3,4,10112,24,3460,5,10,3,10009,19,6649,2,7,9,8343,55,3200,0,3,0,21,37,19,51627,128,22861,0
1861,0,6,13,8845,3,3503,10,4,15,15219,25,6618,16,4,6,13696,7,2643,6,8,6,12239,22,6537,3,7,16,9443,51,4052,0,2,1,35,29,56,59442,108,23353,1
1861,7,5,2,11514,21,6300,7,10,9,11638,20,1772,4,3,10,10676,41,4037,2,9,15,10639,12,2657,9,8,13,12309,54,7268,0,2,0,29,35,49,56776,148,22034,0
2077,12,8,8,13350,25,9979,2,10,11,9366,3,1488,13,1,8,15195,27,13000,3,8,3,11649,13,2814,0,6,17,9456,51,4316,1,1,0,30,33,47,59016,119,31597,0
2077,6,6,8,11477,19,6122,6,7,14,11404,20,12466,1,10,6,8809,34,5135,18,4,9,18966,3,3315,2,4,21,9958,111,523,1,4,1,33,31,58,60614,187,27561,1
1948,12,6,10,16575,32,13384,11,6,8,14070,26,1545,7,2,10,12769,24,11946,8,4,8,12799,30,9628,5,3,19,11195,22,3658,1,1,0,43,21,55,67408,134,40161,1
1948,4,7,4,10692,13,5763,5,9,7,12596,15,3139,8,9,0,12617,6,4494,4,11,7,11159,24,3308,0,7,11,8501,48,1601,0,4,1,21,43,29,55565,106,18305,0
1376,4,1,5,10636,15,13113,2,3,13,9146,13,3424,9,3,5,8914,12,12181,20,1,6,13118,12,9573,3,5,16,7314,18,1337,0,3,1,38,13,45,49128,70,39628,1
1376,0,7,1,5874,13,879,4,4,6,8655,24,603,3,4,4,7986,18,1119,4,12,3,7234,12,761,1,11,6,5681,38,86,0,0,0,12,38,20,35430,105,3448,0
961,3,6,0,4833,9,3467,0,2,1,4345,10,0,0,3,0,4642,8,1629,3,5,1,5094,14,1803,1,5,2,4457,10,0,0,0,0,7,21,4,23371,51,6899,0
961,8,3,0,7911,7,6796,3,0,4,6369,16,0,6,0,1,7658,11,9304,3,3,3,5045,11,724,1,1,7,4801,21,2528,0,2,0,21,7,15,31784,66,19352,1
1131,1,8,2,5913,9,2476,2,5,3,5943,22,0,6,2,1,7973,7,3960,4,2,0,7647,12,1834,0,4,3,4484,6,277,0,1,1,13,21,9,31960,56,8547,0
1131,12,1,4,12372,8,26996,5,2,4,7673,1,0,0,6,1,5351,5,2313,4,2,5,7963,14,7659,0,2,6,5705,18,1320,0,2,0,21,13,20,39064,46,38288,1
1265,0,2,0,6717,15,3067,0,6,0,5153,23,0,1,4,0,5839,12,2056,3,5,0,6069,0,0,0,4,3,5141,14,821,0,0,0,4,21,3,28919,64,5944,0
1265,5,1,2,8916,18,7545,3,2,7,7687,9,448,3,0,5,7998,15,14136,8,1,4,9698,14,10478,2,1,11,7132,29,5735,0,3,1,21,5,29,41431,85,38342,1
957,0,5,0,3050,0,718,2,4,1,4951,11,0,0,2,3,4621,9,3295,0,6,2,3117,7,545,1,4,1,5208,22,468,0,0,0,3,21,7,20947,49,5026,0
957,7,1,2,7092,11,5506,2,2,4,5587,14,0,0,0,3,4824,11,1237,12,0,0,8205,13,5602,0,0,10,4808,14,1437,0,2,0,21,3,19,30516,63,13782,1
2053,1,3,6,11343,9,9893,5,4,10,13680,18,6260,6,7,5,10064,4,5873,21,4,5,20687,10,13411,6,5,25,13211,96,2460,1,4,1,39,23,51,68985,137,37897,1
2053,12,5,0,17444,27,10858,1,10,3,11510,35,1862,7,5,6,12954,31,4406,3,10,3,10973,24,7224,0,9,10,8943,72,2262,1,1,0,23,39,22,61824,189,26612,0
1665,4,5,5,9014,21,4741,5,5,5,9331,12,0,9,3,2,11166,24,0,1,4,3,8213,17,2551,1,4,3,7873,66,1190,0,2,0,20,21,18,45597,140,8482,0
1665,4,3,6,10337,8,7195,2,8,6,8651,23,1451,3,4,6,7841,19,1911,10,3,6,13918,9,4317,2,2,15,7979,51,1960,0,2,1,21,20,39,48726,110,16834,1
1994,11,6,6,14158,19,11567,13,8,12,15716,38,5573,9,2,14,11935,13,2248,7,4,11,13231,24,9459,12,8,13,12021,54,3039,0,3,0,52,28,56,67061,148,31886,1
1994,1,13,6,9597,22,6425,8,14,8,12835,26,683,8,4,8,12849,26,4338,8,11,8,12868,24,4792,3,10,15,10684,66,1504,0,1,1,28,52,45,58833,164,17742,0
1379,10,2,7,11689,19,13138,6,3,6,9625,24,9099,9,3,6,9509,14,8037,4,3,3,8001,13,5196,2,7,7,6847,14,2397,0,2,0,31,18,29,45671,84,37867,1
1379,0,3,0,3740,3,0,3,11,1,7667,21,2229,0,8,1,4962,0,753,8,3,7,11643,10,6038,7,6,5,8949,24,1818,0,1,1,18,31,14,36961,58,10838,0
2221,8,11,12,10725,4,2199,6,5,24,12983,20,0,10,9,9,15495,9,13979,14,5,15,15100,6,4724,10,5,15,12575,100,41,1,3,0,48,35,75,66878,139,20943,1
2221,13,10,7,13705,10,8447,10,10,10,16537,39,5446,0,11,12,10291,23,9712,9,5,6,15010,28,3754,3,13,8,9255,0,1383,0,2,0,35,49,43,64798,100,28742,0
1521,3,4,0,7128,17,3645,8,7,5,12491,31,0,4,9,2,7439,19,1285,1,7,3,7497,3,5306,0,4,4,6050,46,2116,0,1,0,16,31,14,40605,116,12352,0
1521,8,5,3,12062,5,16030,4,3,7,8823,22,367,11,2,8,11501,3,7317,6,3,3,10938,18,7396,2,3,7,7442,21,3518,0,2,0,31,16,28,50766,69,34628,1
999,0,7,0,3375,9,0,1,4,1,4430,5,0,5,3,0,5692,9,766,2,0,1,5624,6,2054,0,0,3,4294,23,2484,0,1,0,8,14,5,23415,52,5304,0
999,10,0,0,7885,12,6577,3,1,0,6036,10,0,1,4,0,5560,1,3137,0,1,0,3764,6,818,0,2,0,3939,11,0,0,1,1,14,8,0,27184,40,10532,1
1929,9,12,5,12377,26,9598,2,11,12,10995,24,0,5,6,7,12323,22,6412,9,9,5,13973,26,4511,4,8,12,9946,22,1016,0,2,0,29,46,41,59614,120,21537,0
